1	150	183
2	199	96
3	97	6
4	22	42
5	181	166
6	93	168
7	194	105
8	41	96
9	188	202
10	14	1
11	158	179
12	38	172
13	167	131
14	3	211
15	178	114
16	80	96
17	185	53
18	51	18
19	108	134
20	65	117
21	103	191
22	63	63
23	198	131
24	122	1
25	103	226
26	122	117
27	107	132
28	194	46
29	84	128
30	97	15
31	1	122
32	49	158
33	31	44
34	127	239
35	20	45
36	156	149
37	70	204
38	97	46
39	57	294
40	116	121
41	165	4
42	38	42
43	154	3
44	156	146
45	41	31
46	127	35
47	192	83
48	77	33
49	78	235
50	11	254
51	160	244
52	181	110
53	194	35
54	9	256
55	190	246
56	173	133
57	169	25
58	45	298
59	44	32
60	151	44
61	73	45
62	119	297
63	103	200
64	106	22
65	60	113
66	152	150
67	185	220
68	120	3
69	22	247
70	34	197
71	193	278
72	106	114
73	48	58
74	54	264
75	11	117
76	178	86
77	6	272
78	97	196
79	45	273
80	170	92
81	116	290
82	112	173
83	13	110
84	103	34
85	96	65
86	177	118
87	187	30
88	36	131
89	123	64
90	151	96
91	79	195
92	4	272
93	97	142
94	94	6
95	50	284
96	157	58
97	194	258
98	15	299
99	74	285
100	64	261
101	135	48
102	81	251
103	100	150
104	70	278
105	145	15
106	7	3
107	32	159
108	182	280
109	189	195
110	19	177
111	179	150
112	172	160
113	86	208
114	84	24
115	6	55
116	13	199
117	179	265
118	129	72
119	50	55
120	81	296
121	26	162
122	58	61
123	182	233
124	8	133
125	190	43
126	10	216
127	172	218
128	194	54
129	60	260
130	82	242
131	17	81
132	180	164
133	196	111
134	23	82
135	177	202
136	137	230
137	49	32
138	93	107
139	42	198
140	124	195
141	131	292
142	26	265
143	27	104
144	160	51
145	182	140
146	187	114
147	154	179
148	181	256
149	127	223
150	44	163
151	133	228
152	111	83
153	91	85
154	95	226
155	53	185
156	193	192
157	50	228
158	31	32
159	29	6
160	83	191
161	113	283
162	73	126
163	146	93
164	199	194
165	40	182
166	144	140
167	88	24
168	197	268
169	84	255
170	86	255
171	174	15
172	181	88
173	100	90
174	26	3
175	89	240
176	143	186
177	66	174
178	195	216
179	80	41
180	109	44
181	57	248
182	111	196
183	179	150
